City;Country;Population
Shanghai;China;22315500
Karachi;Pakistan;13052000
Mumbai;India;12691800
Beijing;China;11716600
Istanbul;Turkey;11174300
Guangzhou;China;11071400
Delhi;India;10928000
Lagos;Nigeria;10404100
Moscow;Russia;10381200
Shenzhen;China;10358400
Seoul;South Korea;10349300
Sao Paulo;Brazil;10021300
Jakarta;Indonesia;9588200
Kinshasa;Democratic Republic of the Congo;9463800
Mexico City;Mexico;8851100
Tokyo;Japan;8336600
New York City;United States;8175100
Dongguan;China;8000000
Cairo;Egypt;7734600
Lima;Peru;7605800
