Title,Rating,Genre,Actors,Runtime
The Filthy Frank Show,10.0,"Short, Comedy, Fantasy",George Miller Zeeq Artemis Holdenberry Bloody Hairy,12
Game of Thrones,9.5,"Short, Comedy, Fantasy",Emilia Clarke Peter Dinklage Kit Harington Lena Headey,12
Breaking Bad,9.5,"Adventure, Drama, Fantasy",Bryan Cranston Aaron Paul Anna Gunn Betsy Brandt,56
The Wire,9.4,"Adventure, Drama, Fantasy",Dominic West Lance Reddick Sonja Sohn Wendell Pierce,56
TVF Pitchers,9.4,"Crime, Drama, Thriller",Naveen Kasturia Arunabh Kumar Jitendra Kumar Aditya Roy Kapoor,49
Rick and Morty,9.3,"Crime, Drama, Thriller",Justin Roiland Chris Parnell Spencer Grammer Sarah Chalke,49
Westworld,9.2,"Crime, Drama, Thriller",Evan Rachel Wood Thandie Newton Jeffrey Wright James Marsden,59
Sherlock,9.2,"Crime, Drama, Thriller",Benedict Cumberbatch Martin Freeman Una Stubbs Rupert Graves,59
The Sopranos,9.2,"Comedy, Drama",James Gandolfini Lorraine Bracco Edie Falco Michael Imperioli,40
Avatar: The Last Airbender,9.2,"Comedy, Drama",Dee Bradley Baker Zach Tyler Mae Whitman Jack De Sena,40
Leyla ile Mecnun,9.2,"Animation, Adventure, Comedy",Ali Atay Cengiz Bozkurt Serkan Keskin Osman Sonant,22
Sarabhai vs Sarabhai,9.2,"Animation, Adventure, Comedy",Satish Shah Ratna Pathak Sumeet Raghvan Rupali Ganguly,22
True Detective,9.1,"Drama, Sci-Fi, Western",Vince Vaughn Colin Farrell Rachel McAdams Taylor Kitsch,60
Firefly,9.1,"Drama, Sci-Fi, Western",Nathan Fillion Gina Torres Alan Tudyk Morena Baccarin,60
One Punch Man: Wanpanman,9.1,"Crime, Drama, Mystery",Max Mittelman Makoto Furukawa Kaito Ishikawa Zach Aguilar,88
Last Week Tonight with John Oliver,9.1,"Crime, Drama, Mystery",John Oliver David Kaye Noel MacNeal Paul McGinnis,88
Hagane no renkinjutsushi,9.1,"Crime, Drama",Kent Williams Iemasa Kayumi Vic Mignogna Romi Pak,55
TVF Tripling,9.1,"Crime, Drama",Sumeet Vyas Maanvi Gagroo Amol Parashar Kunaal Roy Kapur,55
Stranger Things,9.0,"Animation, Action, Adventure",Dacre Montgomery Winona Ryder David Harbour Finn Wolfhard,23
Friends,9.0,"Animation, Action, Adventure",Jennifer Aniston Courteney Cox Lisa Kudrow Matt LeBlanc,23
